م إبتدائية  2مارس 34 منزل شاكر,001
م إبتدائية الأعشاش,002
م إبتدائية البرمكي 2 - العوادنة,003
م إبتدائية الحاج قاسم 1,004
م إبتدائية الحاج قاسم 2,005
م إبتدائية الحاج قاسم 3,006
م إبتدائية الرحامنة - الأعشاش,007
م إبتدائية الرياض بوجربوع,008
م إبتدائية الشوشة - بوجوبوع,009
م إبتدائية الطيايرة - شعلاب,010
م إبتدائية العقاير - بوثدي,011
م إبتدائية العوادنة - الأعشاش,012
م إبتدائية القوادرية - ماجل الدرج,013
م إبتدائية المراعية - العوادنة,014
م إبتدائية المهاذبة - شعلاب,015
م إبتدائية أولاد سعادة - شعلاب,016
م إبتدائية أولاد يوسف الشمالية - البقعة البيضاء,017
م إبتدائية بشكة,018
م إبتدائية بوثدي,019
م إبتدائية بوجربوع الشمالية,020
م إبتدائية بئر الملولي,021
م إبتدائية بئر بن عياد - البقعة البيضاء,022
م إبتدائية تليل العجلة,023
م إبتدائية زعيبيط - بشكة,024
م إبتدائية سوق الأعشاش,025
م إبتدائية فسقية التبن - شعلاب,026
م إبتدائية ليماية - تليل العجلة,027
م إبتدائية ماجل الدرج,028
م إبتدائية مركز البرمكي - العوادنة,029
م إبتدائية وادي الظل - العوادنة,030
م إعدادية الفرابي بمنزل شاكر*,091
